DB,drug_of_interest,Subgroup,n11,n12,n21,n22,ROR,ROR025,ROR975,p_value,PRR,PRR025,PRR975,chi2,IC,IC025,IC975
JADER,Solifenacin,Male,7,1294,1538,463452,1.630092,0.774251,3.431965,0.215577,1.626702,0.775736,3.41116,1.688035,0.589,-0.436,1.615
JADER,Solifenacin,Female,10,1429,1016,448174,3.086887,1.652274,5.767124,0.002015,3.072385,1.651623,5.715316,13.873991,1.361,0.483,2.239
JADER,Solifenacin,20-60s,1,569,850,440347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JADER,Solifenacin,70-90s,16,2025,1541,361356,1.852796,1.130009,3.037898,0.024067,1.846111,1.130284,3.015281,6.167192,0.807,0.1,1.513
JADER,Solifenacin,Drugs<5,7,734,1496,630185,4.017339,1.905145,8.471276,0.002226,3.988835,1.90496,8.352304,15.640902,1.533,0.505,2.561
JADER,Solifenacin,Drugs・5,10,2041,1194,329618,1.352582,0.72477,2.524218,0.350326,1.350863,0.72605,2.513369,0.907016,0.384,-0.492,1.26
JADER,Solifenacin,Overall,17,2775,2690,959803,2.185827,1.354823,3.52654,0.003314,2.178607,1.354273,3.504704,10.801684,1.027,0.342,1.711
FAERS,Solifenacin,Male,53,5915,28520,4922659,1.546576,1.179821,2.027339,0.00265,1.541722,1.178947,2.016127,10.128086,0.609,0.214,1.004
FAERS,Solifenacin,Female,96,13174,27820,7370689,1.930654,1.578926,2.360735,0,1.923922,1.575707,2.349088,42.608568,0.928,0.633,1.222
FAERS,Solifenacin,20-60s,38,6243,18923,5376249,1.729337,1.256712,2.379707,0.001775,1.724925,1.255927,2.369059,11.594582,0.759,0.295,1.222
FAERS,Solifenacin,70-90s,97,5989,24036,2150828,1.449309,1.185389,1.771988,0.000568,1.442148,1.183313,1.757599,13.242799,0.52,0.225,0.814
FAERS,Solifenacin,Drugs<5,18,6529,37080,11402408,0.847779,0.533733,1.346609,0.58556,0.848198,0.534676,1.345561,0.490379,-0.226,-0.889,0.437
FAERS,Solifenacin,Drugs・5,144,13744,27646,3201573,1.213334,1.029177,1.430444,0.02369,1.211122,1.029054,1.425404,5.317699,0.273,0.031,0.514
FAERS,Solifenacin,Overall,162,20273,64726,14603981,1.802974,1.544405,2.104834,0,1.796608,1.54084,2.094833,57.330863,0.837,0.609,1.064
JADER,Mirabegron,Male,18,1874,1527,462872,2.911554,1.825376,4.644053,0.00009,2.893368,1.821989,4.594746,22.115191,1.385,0.715,2.054
JADER,Mirabegron,Female,14,1239,1012,448364,5.006186,2.94554,8.508421,0.000002,4.961424,2.936365,8.383061,43.777143,1.959,1.204,2.714
JADER,Mirabegron,20-60s,6,498,845,440418,6.279575,2.799681,14.084842,0.000493,6.216723,2.798283,13.811198,26.130628,1.826,0.724,2.929
JADER,Mirabegron,70-90s,24,2332,1533,361049,2.423855,1.616245,3.635014,0.000158,2.409351,1.61316,3.59851,19.564098,1.176,0.592,1.761
JADER,Mirabegron,Drugs<5,27,1350,1476,629569,8.530745,5.808442,12.528938,0,8.383084,5.750402,12.221073,172.820906,2.711,2.155,3.266
JADER,Mirabegron,Drugs・5,9,1880,1195,329779,1.321112,0.684628,2.549323,0.338573,1.319582,0.685976,2.538423,0.693884,0.351,-0.568,1.269
JADER,Mirabegron,Overall,36,3230,2671,959348,4.003154,2.876034,5.571992,0,3.970051,2.862564,5.50601,79.147915,1.864,1.384,2.344
FAERS,Mirabegron,Male,140,11013,28433,4917561,2.198616,1.860269,2.598502,0,2.183571,1.851408,2.575326,89.893126,1.111,0.866,1.356
FAERS,Mirabegron,Female,145,20997,27771,7362866,1.830906,1.554348,2.156671,0,1.825208,1.551248,2.147551,54.020599,0.856,0.616,1.097
FAERS,Mirabegron,20-60s,51,7652,18910,5374840,1.894389,1.437864,2.495863,0.000029,1.888468,1.435985,2.483529,21.33543,0.891,0.489,1.293
FAERS,Mirabegron,70-90s,165,11347,23968,2145470,1.301648,1.115624,1.518691,0.001274,1.297324,1.114375,1.51031,11.291445,0.371,0.144,0.597
FAERS,Mirabegron,Drugs<5,128,16397,36970,11392540,2.405563,2.020951,2.86337,0,2.394675,2.014516,2.846575,103.948557,1.241,0.986,1.497
FAERS,Mirabegron,Drugs・5,170,17563,27620,3197754,1.120654,0.963096,1.303988,0.141261,1.119497,0.9635,1.300752,2.173781,0.161,-0.062,0.383
FAERS,Mirabegron,Overall,298,33960,64590,14590294,1.982199,1.768105,2.222217,0,1.973656,1.762232,2.210445,143.113036,0.973,0.805,1.141
